candidate_id,candidate_party,candidate_last_name,rounded_net_receipts,contributor_state
P00000001,,All candidates,2265.2,US
P00000002,DEM,Democrats,2035.3,US
P00014530,DEM,Bloomberg,936.2,US
P00012716,DEM,Steyer,343.1,US
P00000003,REP,Republicans,229.7,US
P80001571,REP,Trump,227.1,US
P60007168,DEM,Sanders,179.7,US
P00009621,DEM,Warren,120.8,US
P00000001,,All candidates,102.5,CA
P00010298,DEM,Buttigieg,99.7,US
P80000722,DEM,Biden,86.2,US
P00000002,DEM,Democrats,84.2,CA
P00000001,,All candidates,53.3,NY
P80006117,DEM,Klobuchar,52.8,US
P00000002,DEM,Democrats,46.2,NY
P00009423,DEM,Harris,40.0,US
P00006486,DEM,Yang,38.0,US
P00000001,,All candidates,36.9,TX
P00000001,,All candidates,29.6,FL
P00000001,,All candidates,28.2,MA
P00009795,DEM,Booker,25.5,US
P00000002,DEM,Democrats,19.4,MA
P00000001,,All candidates,19.4,WA
P00000002,DEM,Democrats,19.3,TX
P00000003,REP,Republicans,18.3,CA
P80001571,REP,Trump,18.1,CA
P00000003,REP,Republicans,17.6,TX
P80001571,REP,Trump,17.6,TX
P00010793,DEM,O’Rourke,17.5,US
P00000001,,All candidates,17.1,IL
P00000002,DEM,Democrats,16.4,WA
P60007168,DEM,Sanders,16.1,CA
P00009290,DEM,Gillibrand,15.8,US
P00000003,REP,Republicans,14.9,FL
P00000001,,All candidates,14.8,NJ
P80001571,REP,Trump,14.8,FL
P00000002,DEM,Democrats,14.7,FL
P00009183,DEM,Gabbard,14.4,US
P00000001,,All candidates,14.0,PA
P00006213,DEM,Delaney,13.7,US
P00000002,DEM,Democrats,13.6,IL
P00000001,,All candidates,12.7,VA
P00010298,DEM,Buttigieg,12.6,CA
P00009423,DEM,Harris,12.0,CA
P00000001,,All candidates,11.9,CO
P00000002,DEM,Democrats,11.5,NJ
P00000001,,All candidates,11.3,MD
P00009621,DEM,Warren,10.9,CA
P00000002,DEM,Democrats,10.3,PA
P00009092,DEM,Castro,10.1,US
P00000001,,All candidates,9.7,GA
P00000002,DEM,Democrats,9.5,MD
P00000001,,All candidates,9.5,DC
P80000722,DEM,Biden,9.4,CA
P00000002,DEM,Democrats,9.4,CO
P00000002,DEM,Democrats,9.3,VA
P00000001,,All candidates,9.1,NC
P00000001,,All candidates,9.1,OH
P00000002,DEM,Democrats,9.0,DC
P00000001,,All candidates,8.9,MN
P00000003,REP,Republicans,8.8,MA
P80001571,REP,Trump,8.5,MA
P00000001,,All candidates,8.3,MI
P00009910,DEM,Williamson,7.9,US
P00000001,,All candidates,7.6,AZ
P00011833,DEM,Bennet,7.5,US
P00000002,DEM,Democrats,7.4,MN
P00010298,DEM,Buttigieg,7.3,NY
P00000001,,All candidates,7.2,OR
