candidate_id,candidate_party,candidate_last_name,rounded_net_receipts,contributor_state
P00000001,,All candidates,1462.3,US
P00000002,DEM,Democrats,799.4,US
P00000003,REP,Republicans,639.1,US
P00003392,DEM,Clinton,563.8,US
P80001571,REP,Trump,333.1,US
P60007168,DEM,Sanders,228.2,US
P00000001,,All candidates,172.0,NY
P00000002,DEM,Democrats,153.9,NY
P00000001,,All candidates,152.3,CA
P00003392,DEM,Clinton,145.2,NY
P00000002,DEM,Democrats,114.5,CA
P00003392,DEM,Clinton,93.7,CA
P60006111,REP,Cruz,90.2,US
P00000001,,All candidates,75.9,TX
P60005915,REP,Carson,63.6,US
P00000001,,All candidates,58.1,FL
P00000003,REP,Republicans,49.1,TX
P60006723,REP,Rubio,42.1,US
P00000003,REP,Republicans,36.5,CA
P60008059,REP,Bush,34.1,US
P00000003,REP,Republicans,32.2,FL
P00000001,,All candidates,31.4,MA
P00000001,,All candidates,28.6,VA
P00000001,,All candidates,28.4,IL
P00000002,DEM,Democrats,26.4,MA
P00000002,DEM,Democrats,26.3,TX
P00000002,DEM,Democrats,25.5,FL
P00000001,,All candidates,25.2,PA
P00000001,,All candidates,25.0,NJ
P00000001,,All candidates,24.5,MD
P00000001,,All candidates,24.4,WA
P00003392,DEM,Clinton,22.6,TX
P00003392,DEM,Clinton,21.9,FL
P00003392,DEM,Clinton,21.4,MA
P00000001,,All candidates,20.5,DC
P60007168,DEM,Sanders,20.2,CA
P00000001,,All candidates,20.0,OH
P60006111,REP,Cruz,19.8,TX
P00000002,DEM,Democrats,19.7,MD
P00000002,DEM,Democrats,19.7,IL
P60003670,REP,Kasich,18.9,US
P00000002,DEM,Democrats,18.5,WA
P00000002,DEM,Democrats,18.4,DC
P00000002,DEM,Democrats,18.3,VA
P00000001,,All candidates,17.7,GA
P00003392,DEM,Clinton,17.6,DC
P00000003,REP,Republicans,17.5,NY
P00000001,,All candidates,17.1,CO
P00000001,,All candidates,16.2,MI
P00003392,DEM,Clinton,16.2,MD
P00003392,DEM,Clinton,16.2,IL
P00003392,DEM,Clinton,16.0,VA
P00000001,,All candidates,15.7,NC
P80001571,REP,Trump,15.7,TX
P00000002,DEM,Democrats,15.3,PA
P00000002,DEM,Democrats,14.5,NJ
P00000001,,All candidates,14.0,CT
P80001571,REP,Trump,14.0,CA
P00003392,DEM,Clinton,12.8,PA
P00003392,DEM,Clinton,12.8,WA
P00000001,,All candidates,12.8,AZ
P80001571,REP,Trump,12.7,FL
P00003392,DEM,Clinton,12.3,NJ
P40003576,REP,Paul,12.1,US
P60007242,REP,Fiorina,12.1,US
P00000003,REP,Republicans,11.7,OH
P20002671,LIB,Johnson,11.6,US
P00000001,,All candidates,11.2,TN
P00000002,DEM,Democrats,11.0,CO
P00000001,,All candidates,10.6,OR
P20003984,GRE,Stein,10.5,US
P00000003,REP,Republicans,10.4,NJ
P00000001,,All candidates,10.1,MN
P00000003,REP,Republicans,10.1,VA
P00000001,,All candidates,9.9,MO
P00000003,REP,Republicans,9.7,PA
P00000002,DEM,Democrats,9.7,CT
P00000003,REP,Republicans,9.4,GA
P60006046,REP,Walker,9.0,US
P00000002,DEM,Democrats,8.6,MI
P00003392,DEM,Clinton,8.5,CO
P00000003,REP,Republicans,8.5,IL
P00000001,,All candidates,8.5,WI
P60008521,REP,Christie,8.4,US
P00000001,,All candidates,8.4,SC
P00000002,DEM,Democrats,8.4,NC
P60007168,DEM,Sanders,8.3,NY
P00003392,DEM,Clinton,8.2,CT
P00000002,DEM,Democrats,8.2,GA
P00000002,DEM,Democrats,8.2,OH
P00000002,DEM,Democrats,7.9,OR
P00000001,,All candidates,7.7,IN
P00000001,,All candidates,7.5,LA
P00000003,REP,Republicans,7.4,MI
P00000003,REP,Republicans,7.2,NC
P00003392,DEM,Clinton,7.0,GA
P00000002,DEM,Democrats,6.8,MN
P00003392,DEM,Clinton,6.7,OH
P00003392,DEM,Clinton,6.7,NC
P00000001,,All candidates,6.6,NV
P00000003,REP,Republicans,6.6,AZ
P60008059,REP,Bush,6.6,FL
P00000001,,All candidates,6.5,OK
P00003392,DEM,Clinton,6.5,MI
P00000003,REP,Republicans,6.5,TN
P00000001,,All candidates,6.4,AL
P00000002,DEM,Democrats,6.0,AZ
P00000003,REP,Republicans,5.9,CO
P80001571,REP,Trump,5.8,NY
P60006111,REP,Cruz,5.7,CA
P60007671,DEM,O'Malley,5.7,US
P60007697,REP,Graham,5.7,US
P60007168,DEM,Sanders,5.6,WA
P00000003,REP,Republicans,5.6,SC
P00000003,REP,Republicans,5.6,WA
P60006723,REP,Rubio,5.5,FL
P00000001,,All candidates,5.4,NM
P00000002,DEM,Democrats,5.2,MO
P00003392,DEM,Clinton,5.2,MN
P00000003,REP,Republicans,5.1,LA
P00000001,,All candidates,5.1,AR
P80001571,REP,Trump,5.0,GA
P00000001,,All candidates,5.0,KY
P60006723,REP,Rubio,4.8,CA
P00000001,,All candidates,4.8,IA
P00003392,DEM,Clinton,4.8,OR
P60007168,DEM,Sanders,4.7,MA
P00000003,REP,Republicans,4.7,MA
P00000003,REP,Republicans,4.6,MD
P00000002,DEM,Democrats,4.6,TN
P00000003,REP,Republicans,4.6,MO
P60003670,REP,Kasich,4.5,OH
P00003392,DEM,Clinton,4.3,MO
P80003478,REP,Huckabee,4.3,US
P00003392,DEM,Clinton,4.3,AZ
P00000003,REP,Republicans,4.3,IN
P00000003,REP,Republicans,4.2,WI
P00000003,REP,Republicans,4.2,CT
P80001571,REP,Trump,4.2,PA
P00000003,REP,Republicans,4.2,AL
P00000002,DEM,Democrats,4.1,WI
P00000001,,All candidates,4.1,NH
P00000001,,All candidates,4.1,KS
P80001571,REP,Trump,4.0,OH
P00000001,,All candidates,4.0,UT
P00000003,REP,Republicans,4.0,OK
P60008521,REP,Christie,3.8,NJ
P80001571,REP,Trump,3.8,VA
P00003392,DEM,Clinton,3.7,TN
P00000001,,All candidates,3.7,VT
P00000002,DEM,Democrats,3.7,NM
P60008059,REP,Bush,3.7,TX
P60008059,REP,Bush,3.6,NY
P00000003,REP,Republicans,3.5,NV
P60007168,DEM,Sanders,3.5,TX
P80001571,REP,Trump,3.5,IL
P80001571,REP,Trump,3.5,NC
P60007168,DEM,Sanders,3.4,FL
P00000002,DEM,Democrats,3.4,IN
P60007168,DEM,Sanders,3.4,IL
P00000002,DEM,Democrats,3.4,VT
P60008059,REP,Bush,3.3,CA
P00000001,,All candidates,3.3,ME
P00000003,REP,Republicans,3.3,MN
P80001571,REP,Trump,3.2,AZ
P00000001,,All candidates,3.1,MS
P60007168,DEM,Sanders,3.1,OR
P60005915,REP,Carson,3.0,TX
P00000002,DEM,Democrats,3.0,NV
P80001571,REP,Trump,3.0,NJ
P80001571,REP,Trump,3.0,MI
P60005915,REP,Carson,2.9,CA
P60006723,REP,Rubio,2.9,TX
P60006111,REP,Cruz,2.8,FL
P00000002,DEM,Democrats,2.8,SC
P80001571,REP,Trump,2.8,TN
P00003392,DEM,Clinton,2.8,WI
P00000002,DEM,Democrats,2.7,AR
P00000002,DEM,Democrats,2.7,NH
P00000003,REP,Republicans,2.6,KY
P80001571,REP,Trump,2.6,CO
P00000001,,All candidates,2.6,RI
P00003392,DEM,Clinton,2.6,NM
P00000003,REP,Republicans,2.6,OR
P80001571,REP,Trump,2.6,WA
P60007168,DEM,Sanders,2.6,VT
P00000001,,All candidates,2.5,HI
P00003392,DEM,Clinton,2.5,IN
P00000002,DEM,Democrats,2.5,OK
P00000002,DEM,Democrats,2.5,ME
P00000001,,All candidates,2.5,NE
P00000002,DEM,Democrats,2.4,IA
P00003392,DEM,Clinton,2.4,AR
P60007168,DEM,Sanders,2.4,PA
P60006723,REP,Rubio,2.4,NY
P00000001,,All candidates,2.4,ID
P60007168,DEM,Sanders,2.4,CO
P00000003,REP,Republicans,2.4,AR
P00000002,DEM,Democrats,2.3,LA
P00003392,DEM,Clinton,2.3,NV
P00000003,REP,Republicans,2.3,IA
P00000002,DEM,Democrats,2.3,KY
P00000003,REP,Republicans,2.3,MS
P00003392,DEM,Clinton,2.3,SC
P00000003,REP,Republicans,2.2,KS
P00000002,DEM,Democrats,2.2,AL
